County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total_chargers,Total_EV,Total_Capacity_Level_1,Total_Capacity_Level_2,Total_Capacity_DC_Fast,Total_Charger_Capacity,Sessions_Level_1,Sessions_Level_2,Sessions_DC_Fast,Total_Effective_Sessions,Congestion_Ratio
Alameda,4,72,1590,3667,510,50,5893,57097,9120,3154200,4032000,7195320,31.919999999999998,12616.8,18816.0,31464.72,1.8146355664375846
Alpine,0,0,12,0,0,0,12,12,0,7200,0,7200,0.0,28.799999999999994,0.0,28.799999999999994,0.41666666666666674
Amador,0,0,26,0,8,0,34,269,0,15600,57600,73200,0.0,62.39999999999999,268.79999999999995,331.19999999999993,0.8121980676328504
Butte,6,0,72,53,25,1,157,1310,720,75000,187200,262920,2.5199999999999996,299.99999999999994,873.5999999999999,1176.12,1.1138319219127302
Calaveras,0,2,9,0,12,0,23,334,240,5400,86400,92040,0.84,21.599999999999998,403.2,425.64,0.7847006860257495
Colusa,0,0,16,3,18,0,37,67,0,11400,129600,141000,0.0,45.599999999999994,604.8,650.4,0.10301353013530136
Contra Costa,0,2,678,604,341,7,1632,33306,240,769200,2505600,3275040,0.84,3076.7999999999997,11692.8,14770.439999999999,2.2549091293150374
Del Norte,0,0,18,0,28,0,46,101,0,10800,201600,212400,0.0,43.199999999999996,940.8,984.0,0.10264227642276423
El Dorado,1,0,166,8,83,0,258,3552,120,104400,597600,702120,0.42,417.59999999999997,2788.7999999999997,3206.8199999999997,1.1076393436488485
Fresno,23,1,476,483,283,26,1292,7623,2880,575400,2224800,2803080,10.079999999999998,2301.6,10382.4,12694.08,0.6005161461090525
Glenn,0,0,2,0,6,0,8,89,0,1200,43200,44400,0.0,4.8,201.6,206.4,0.4312015503875969
Humboldt,0,0,111,10,36,0,157,1723,0,72600,259200,331800,0.0,290.4,1209.6,1500.0,1.1486666666666667
Imperial,0,0,15,12,24,1,52,474,0,16200,180000,196200,0.0,64.8,840.0,904.8,0.5238726790450928
Inyo,0,0,4,6,72,1,83,112,0,6000,525600,531600,0.0,23.999999999999996,2452.7999999999997,2476.7999999999997,0.04521963824289406
Kern,5,1,216,233,371,6,832,4854,720,269400,2714400,2984520,2.5199999999999996,1077.6,12667.199999999999,13747.32,0.353087001684692
Kings,0,0,70,248,112,1,431,632,0,190800,813600,1004400,0.0,763.1999999999999,3796.7999999999997,4560.0,0.13859649122807016
Lake,0,0,18,0,0,0,18,456,0,10800,0,10800,0.0,43.199999999999996,0.0,43.199999999999996,10.555555555555557
Lassen,0,1,7,0,8,0,16,26,120,4200,57600,61920,0.42,16.799999999999997,268.79999999999995,286.02,0.09090273407454025
Los Angeles,23,121,8423,20716,2093,193,31569,207023,17280,17483400,16459200,33959880,60.47999999999999,69933.59999999999,76809.59999999999,146803.68,1.4102030684789373
Madera,0,1,76,39,79,8,203,884,120,69000,626400,695520,0.42,276.0,2923.2,3199.62,0.2762828085835193
Marin,1,0,472,444,103,0,1020,12081,120,549600,741600,1291320,0.42,2198.3999999999996,3460.7999999999997,5659.619999999999,2.1345956088924702
Mariposa,0,0,30,0,32,0,62,90,0,18000,230400,248400,0.0,71.99999999999999,1075.1999999999998,1147.1999999999998,0.0784518828451883
Mendocino,0,0,134,35,60,0,229,975,0,101400,432000,533400,0.0,405.59999999999997,2015.9999999999998,2421.6,0.4026263627353816
Merced,10,2,75,27,68,0,182,1465,1440,61200,489600,552240,5.039999999999999,244.79999999999998,2284.7999999999997,2534.64,0.5779913518290566
Modoc,0,0,4,0,8,0,12,4,0,2400,57600,60000,0.0,9.6,268.79999999999995,278.4,0.014367816091954025
Mono,0,0,19,7,26,0,52,78,0,15600,187200,202800,0.0,62.39999999999999,873.5999999999999,935.9999999999999,0.08333333333333334
Monterey,0,0,252,60,178,1,491,4598,0,187200,1288800,1476000,0.0,748.7999999999998,6014.4,6763.2,0.6798556896143837
Napa,0,0,368,55,55,0,478,3137,0,253800,396000,649800,0.0,1015.1999999999999,1847.9999999999998,2863.2,1.0956272701872032
Nevada,0,0,50,42,57,0,149,1414,0,55200,410400,465600,0.0,220.79999999999995,1915.1999999999998,2136.0,0.6619850187265918
Orange,1,0,3117,2724,904,25,6771,101155,120,3504600,6688800,10193520,0.42,14018.4,31214.399999999998,45233.22,2.2362988971379885
Placer,0,1,271,125,221,4,622,8716,120,237600,1620000,1857720,0.42,950.3999999999999,7559.999999999999,8510.82,1.0241081352913115
Plumas,0,0,7,0,0,0,7,56,0,4200,0,4200,0.0,16.799999999999997,0.0,16.799999999999997,3.333333333333334
Riverside,0,1,1044,211,564,15,1835,33222,120,753000,4168800,4921920,0.42,3011.9999999999995,19454.399999999998,22466.819999999996,1.4787139434953414
Sacramento,65,18,1098,752,311,9,2253,23271,9960,1110000,2304000,3423960,34.85999999999999,4439.999999999999,10752.0,15226.859999999999,1.5282861995184827
San Benito,0,0,12,10,5,0,27,980,0,13200,36000,49200,0.0,52.8,168.0,220.8,4.438405797101449
San Bernardino,1,11,785,530,614,16,1957,24902,1440,789000,4536000,5326440,5.039999999999999,3155.9999999999995,21168.0,24329.04,1.0235504565737077
San Diego,0,17,2841,4972,695,58,8583,69366,2040,4687800,5421600,10111440,7.139999999999999,18751.199999999997,25300.8,44059.14,1.5743838849328426
San Francisco,9,6,873,1334,172,37,2431,21639,1800,1324200,1504800,2830800,6.3,5296.799999999999,7022.4,12325.5,1.7556285749056832
San Joaquin,0,0,315,313,174,23,825,8794,0,376800,1418400,1795200,0.0,1507.1999999999998,6619.2,8126.4,1.0821519984248869
San Luis Obispo,0,1,410,228,136,2,777,5211,120,382800,993600,1376520,0.42,1531.1999999999996,4636.799999999999,6168.419999999999,0.8447868335813711
San Mateo,34,103,2152,2853,370,21,5533,34060,16440,3003000,2815200,5834640,57.54,12012.0,13137.599999999999,25207.14,1.3512044603235434
Santa Barbara,0,2,345,163,110,28,648,6845,240,304800,993600,1298640,0.84,1219.1999999999998,4636.799999999999,5856.839999999999,1.168718967907609
Santa Clara,2,75,3974,15372,730,67,20220,84297,9240,11607600,5738400,17355240,32.339999999999996,46430.399999999994,26779.199999999997,73241.93999999999,1.15093892925283
Santa Cruz,0,0,199,83,77,0,359,7014,0,169200,554400,723600,0.0,676.8,2587.2,3264.0,2.1488970588235294
Shasta,0,0,94,45,85,3,227,1001,0,83400,633600,717000,0.0,333.59999999999997,2956.7999999999997,3290.3999999999996,0.3042183321176757
Sierra,0,0,2,0,0,0,2,1,0,1200,0,1200,0.0,4.8,0.0,4.8,0.20833333333333334
Siskiyou,0,1,24,4,48,0,77,160,120,16800,345600,362520,0.42,67.19999999999999,1612.8,1680.4199999999998,0.09521429166517895
Solano,2,0,249,166,189,2,608,7046,240,249000,1375200,1624440,0.84,996.0,6417.599999999999,7414.44,0.9503077777957608
Sonoma,0,0,485,265,134,18,902,11993,0,450000,1094400,1544400,0.0,1799.9999999999995,5107.2,6907.199999999999,1.7363041463979618
Stanislaus,0,1,107,68,70,3,249,3843,120,105000,525600,630720,0.42,420.0,2452.7999999999997,2873.22,1.3375237538371585
Sutter,0,0,9,7,16,3,35,580,0,9600,136800,146400,0.0,38.4,638.4,676.8,0.8569739952718677
Tehama,0,0,12,50,32,0,94,275,0,37200,230400,267600,0.0,148.79999999999998,1075.1999999999998,1223.9999999999998,0.22467320261437912
Trinity,0,0,4,2,9,0,15,35,0,3600,64800,68400,0.0,14.399999999999997,302.4,316.79999999999995,0.110479797979798
Tulare,0,3,128,68,67,25,291,2035,360,117600,662400,780360,1.2599999999999998,470.4,3091.2,3562.8599999999997,0.5711703519082985
Tuolumne,0,0,41,5,9,0,55,367,0,27600,64800,92400,0.0,110.39999999999998,302.4,412.79999999999995,0.8890503875968994
Ventura,4,0,399,350,166,11,930,17539,480,449400,1274400,1724280,1.68,1797.6,5947.2,7746.48,2.264125125218164
Yolo,14,0,243,145,61,5,468,3981,1680,232800,475200,709680,5.88,931.1999999999999,2217.6,3154.68,1.2619346494731638
Yuba,0,0,18,39,12,0,69,440,0,34200,86400,120600,0.0,136.79999999999998,403.2,540.0,0.8148148148148148
